type|category|name|MP_degC|BP_degC|MW_gmol|pct_weight_plastics|example_plastics|consumption_Mtyr|refs
Foaming agents|ammonium sulfates;substituted uras and triazines;cynamide;azodicarbonamide|biuret|decomp190|NaN|Low|0.5-2|PVC;EVA;polyolefins|0.03|Dufton, 1998;Hansen etal., 2013;Landrock, 1995;Simionescu and Benedek,1982;Stepek, 1983
Foaming agents|ammonium sulfates;substituted uras and triazines;cynamide;azodicarbonamide|1,3,5-Tris[3-(dimethylamino)propyl]hexahydro-1,3,5-triazine|NaN|141|Low|0.5-2|PVC;EVA;polyolefins|0.03|Dufton, 1998;Hansen etal., 2013;Landrock, 1995;Simionescu and Benedek,1982;Stepek, 1983
Foaming agents|ammonium sulfates;substituted uras and triazines;cynamide;azodicarbonamide|cynamide|44|decomp260|Low|0.5-2|PVC;EVA;polyolefins|0.03|Dufton, 1998;Hansen etal., 2013;Landrock, 1995;Simionescu and Benedek,1982;Stepek, 1983
Foaming agents|ammonium sulfates;substituted uras and triazines;cynamide;azodicarbonamide|azodicarbonamide|decomp225|NaN|Low|0.5-2|PVC;EVA;polyolefins|0.03|Dufton, 1998;Hansen etal., 2013;Landrock, 1995;Simionescu and Benedek,1982;Stepek, 1983
Biocides|organic arsenic compounds;organic tin compounds;metallic soaps of copper;metallic soaps of zinc;metallic soaps of mercury;metallic soaps of tin|tributyltin oxide|minus45|173|Low-medium|0.001-1|PVC;PE;PUR|0.025|Gumargalieva et al., 1999;Habladakis etal, 2018;Hansen et al, 2013
Biocides|organic arsenic compounds;organic tin compounds;metallic soaps of copper;metallic soaps of zinc;metallic soaps of mercury;metallic soaps of tin|methylarsonic acid|161|393|Low-medium|0.001-1|PVC;PE;PUR|0.025|Gumargalieva et al., 1999;Habladakis etal, 2018;Hansen et al, 2013
Biocides|organic arsenic compounds;organic tin compounds;metallic soaps of copper;metallic soaps of zinc;metallic soaps of mercury;metallic soaps of tin|zinc oleate|70|360|Low-medium|0.001-1|PVC;PE;PUR|0.025|Gumargalieva et al., 1999;Habladakis etal, 2018;Hansen et al, 2013
Fillers|Talc;silica;clays;certain calcium aluminium and magenisum complexes;mica;silicates;|calcium carbonate|825-1339|NaN|Low-medium|0-50|PVC;PA;polyesters;polyolefins|1.436|Deanin, 1975;Dufton,1998;Ebewele, 2000;Hahladakis et al., 2018;Maier and Calafut, 1998b;Wypych, 2000;Zhang etal., 2019b;Zhao et al.,2019
Fillers|Talc;silica;clays;certain calcium aluminium and magenisum complexes;mica;silicates;|kaolin|740-1785|NaN|Low-medium|0-50|PVC;PA;polyesters;polyolefins|1.436|Deanin, 1975;Dufton,1998;Ebewele, 2000;Hahladakis et al., 2018;Maier and Calafut, 1998b;Wypych, 2000;Zhang etal., 2019b;Zhao et al.,2019
Fillers|Talc;silica;clays;certain calcium aluminium and magenisum complexes;mica;silicates;|talc|800|NaN|Low-medium|0-50|PVC;PA;polyesters;polyolefins|1.436|Deanin, 1975;Dufton,1998;Ebewele, 2000;Hahladakis et al., 2018;Maier and Calafut, 1998b;Wypych, 2000;Zhang etal., 2019b;Zhao et al.,2019
Reinforcements|glass fibers;carbon fibers;aramid fibers;nanocomposites;mica|aramid fiber|500|NaN|Medium-high|15-30|PP;PS;nylon|0.57|Cui et al., 2018;Dong etal., 2018;Dong et al.,2019;Gong et al., 2019;Gu et al., 2019c;Gu et al.,2019a;Gu et al., 2019b;Hansen et al., 2013;Lee,1992;Li et al., 2019a;Maier and Calafut, 1998b;Murphy, 2001;Qian et al.,2018;Seymour, 1976
Reinforcements|glass fibers;carbon fibers;aramid fibers;nanocomposites;mica|muscovite mica|700-1000|NaN|Medium-high|15-30|PP;PS;nylon|0.57|Cui et al., 2018;Dong etal., 2018;Dong et al.,2019;Gong et al., 2019;Gu et al., 2019c;Gu et al.,2019a;Gu et al., 2019b;Hansen et al., 2013;Lee,1992;Li et al., 2019a;Maier and Calafut, 1998b;Murphy, 2001;Qian et al.,2018;Seymour, 1976
Colourants|many metal oxides(iron,chromium,molybdenum,cadmium,nickel,antimony,titanium);carbon black;cadmium sulfides;azo derivatives|sudan I|131|391|Low-medium|0.01-5|PS;PMMA;PE|2.025|Crompton, 2007;Hansenet al., 2013;Hunger, 2003;Maier and Calafut, 1998a
Colourants|many metal oxides(iron,chromium,molybdenum,cadmium,nickel,antimony,titanium);carbon black;cadmium sulfides;azo derivatives|titanium dioxide|1843|2500-3000|Low-medium|0.01-5|PS;PMMA;PE|2.025|Crompton, 2007;Hansenet al., 2013;Hunger, 2003;Maier and Calafut, 1998a
Colourants|many metal oxides(iron,chromium,molybdenum,cadmium,nickel,antimony,titanium);carbon black;cadmium sulfides;azo derivatives|cadmium sulfide||NaN|Low-medium|0.01-5|PS;PMMA;PE|2.025|Crompton, 2007;Hansenet al., 2013;Hunger, 2003;Maier and Calafut, 1998a
